Broker Name:   Stock Name:    Current Value: Changes:       
Broker 1       Technology     176            5              
Broker 2       Technology     176            5              
Broker 3       Technology     176            5              
Broker 4       Technology     176            5              
Broker 1       Retail         38             5              
Broker 4       Retail         38             5              
Broker 2       Banking        103            5              
Broker 3       Banking        103            5              
Broker 4       Banking        103            5              
Broker 2       Commodity      553            5              
Broker 4       Commodity      553            5              
Broker 1       Technology     179            6              
Broker 2       Technology     179            6              
Broker 3       Technology     179            6              
Broker 4       Technology     179            6              
Broker 1       Retail         40             6              
Broker 4       Retail         40             6              
Broker 2       Banking        107            6              
Broker 3       Banking        107            6              
Broker 4       Banking        107            6              
Broker 2       Commodity      572            6              
Broker 4       Commodity      572            6              
Broker 1       Technology     183            7              
Broker 2       Technology     183            7              
Broker 3       Technology     183            7              
Broker 4       Technology     183            7              
Broker 1       Retail         42             7              
Broker 4       Retail         42             7              
Broker 2       Commodity      585            7              
Broker 4       Commodity      585            7              
Broker 2       Banking        110            7              
Broker 3       Banking        110            7              
Broker 4       Banking        110            7              
Broker 1       Technology     187            8              
Broker 2       Technology     187            8              
Broker 3       Technology     187            8              
Broker 4       Technology     187            8              
Broker 1       Retail         44             8              
Broker 4       Retail         44             8              
Broker 2       Commodity      599            8              
Broker 4       Commodity      599            8              
Broker 2       Banking        113            8              
Broker 3       Banking        113            8              
Broker 4       Banking        113            8              
Broker 1       Technology     191            9              
Broker 2       Technology     191            9              
Broker 3       Technology     191            9              
Broker 4       Technology     191            9              
Broker 1       Retail         46             9              
Broker 4       Retail         46             9              
Broker 2       Commodity      611            9              
Broker 4       Commodity      611            9              
Broker 2       Banking        116            9              
Broker 3       Banking        116            9              
Broker 4       Banking        116            9              
Broker 1       Technology     195            10             
Broker 2       Technology     195            10             
Broker 3       Technology     195            10             
Broker 4       Technology     195            10             
Broker 1       Retail         48             10             
Broker 4       Retail         48             10             
Broker 2       Commodity      624            10             
Broker 4       Commodity      624            10             
Broker 2       Banking        119            10             
Broker 3       Banking        119            10             
Broker 4       Banking        119            10             
Broker 1       Technology     197            11             
Broker 2       Technology     197            11             
Broker 3       Technology     197            11             
Broker 4       Technology     197            11             
Broker 2       Banking        122            11             
Broker 3       Banking        122            11             
Broker 4       Banking        122            11             
Broker 2       Commodity      631            11             
Broker 4       Commodity      631            11             
Broker 1       Retail         49             11             
Broker 4       Retail         49             11             
Broker 1       Technology     199            12             
Broker 2       Technology     199            12             
Broker 3       Technology     199            12             
Broker 4       Technology     199            12             
Broker 2       Banking        124            12             
Broker 3       Banking        124            12             
Broker 4       Banking        124            12             
Broker 2       Commodity      646            12             
Broker 4       Commodity      646            12             
Broker 1       Retail         51             12             
Broker 4       Retail         51             12             
Broker 1       Technology     203            13             
Broker 2       Technology     203            13             
Broker 3       Technology     203            13             
Broker 4       Technology     203            13             
Broker 2       Banking        128            13             
Broker 3       Banking        128            13             
Broker 4       Banking        128            13             
Broker 2       Commodity      658            13             
Broker 4       Commodity      658            13             
Broker 1       Retail         53             13             
Broker 4       Retail         53             13             
Broker 1       Technology     206            14             
Broker 2       Technology     206            14             
Broker 3       Technology     206            14             
Broker 4       Technology     206            14             
Broker 1       Retail         54             14             
Broker 4       Retail         54             14             
Broker 2       Commodity      664            14             
Broker 4       Commodity      664            14             
Broker 2       Banking        130            14             
Broker 3       Banking        130            14             
Broker 4       Banking        130            14             
Broker 1       Technology     208            15             
Broker 2       Technology     208            15             
Broker 3       Technology     208            15             
Broker 4       Technology     208            15             
Broker 2       Banking        133            15             
Broker 3       Banking        133            15             
Broker 4       Banking        133            15             
Broker 2       Commodity      671            15             
Broker 4       Commodity      671            15             
Broker 1       Retail         55             15             
Broker 4       Retail         55             15             
Broker 1       Technology     210            16             
Broker 2       Technology     210            16             
Broker 3       Technology     210            16             
Broker 4       Technology     210            16             
Broker 2       Banking        135            16             
Broker 3       Banking        135            16             
Broker 4       Banking        135            16             
Broker 1       Retail         57             16             
Broker 4       Retail         57             16             
Broker 2       Commodity      679            16             
Broker 4       Commodity      679            16             
Broker 1       Technology     213            17             
Broker 2       Technology     213            17             
Broker 3       Technology     213            17             
Broker 4       Technology     213            17             
Broker 2       Banking        137            17             
Broker 3       Banking        137            17             
Broker 4       Banking        137            17             
Broker 1       Retail         58             17             
Broker 4       Retail         58             17             
Broker 2       Commodity      692            17             
Broker 4       Commodity      692            17             
Broker 1       Technology     214            18             
Broker 2       Technology     214            18             
Broker 3       Technology     214            18             
Broker 4       Technology     214            18             
Broker 2       Banking        139            18             
Broker 3       Banking        139            18             
Broker 4       Banking        139            18             
Broker 1       Retail         59             18             
Broker 4       Retail         59             18             
Broker 2       Commodity      706            18             
Broker 4       Commodity      706            18             
Broker 1       Technology     215            19             
Broker 2       Technology     215            19             
Broker 3       Technology     215            19             
Broker 4       Technology     215            19             
Broker 2       Banking        140            19             
Broker 3       Banking        140            19             
Broker 4       Banking        140            19             
